,Property_Name,Price_in_INR,No_of_Bedroom,Property_type
1383,"Magdalen Court, St Peters Road, Newsom Place, St Albans, Hertfordshire, AL1",53005000,3,3 bedroom terraced house for sale
1384,"Batford Road, Harpenden",39753750,4,1 bedroom flat for sale
1385,"Station Approach, Harpenden",26501969,3,2 bedroom apartment for sale
1386,Cuffley,33923200,5,2 bedroom flat for sale
1387,"Lambs Close, Cuffley",45054250,1,3 bedroom terraced house for sale
1388,"Knightsfield, Welwyn Garden City, Hertfordshire",26502500,3,1 bedroom flat for sale
1389,"Penn Way, Welwyn Garden City, Hertfordshire",51414850,10,3 bedroom detached house for sale
1390,"Daisy Drive, Hatfield, Hertfordshire",66786300,2,3 bedroom apartment for sale
1391,"Old Electricity Works, St. Albans, Hertfordshire",137388429,5,4 bedroom detached house for sale
1392,The Laurels,45054250,3,3 bedroom terraced house for sale
1393,"Howlands, Welwyn Garden City",148414000,3,5 bedroom detached house for sale
1394,"Medow Mead, Radlett, Hertfordshire, WD7",19081800,4,1 bedroom apartment for sale
1395,"at The Prestige, David Lewis Street SG4",105479950,3,3 bedroom bungalow for sale
1396,"Wroxham Way, Harpenden, Hertfordshire, AL5",699135950,5,10 bedroom detached house for sale
1397,"Bayford House, Ashendene Road, Bayford, Hertford, Hertfordshire, SG13",25177375,2,2 bedroom flat for sale
1398,"Mosquito Way, Hatfield",169616000,4,5 bedroom detached house for sale
1399,"Reynards Road, Welwyn, Hertfordshire, AL6",53005000,5,3 bedroom terraced house for sale
1400,"66 Parkway, Welwyn Garden City, Hertfordshire, AL8 6HH",31803000,4,3 bedroom apartment for sale
1401,"The Quadrant, St. Albans, Hertfordshire, AL4",71556750,6,4 bedroom house for sale
1402,Harpenden AL5,73676950,4,3 bedroom semi-detached bungalow for sale
1403,"Piggottshill Lane, Harpenden",71556750,2,5 bedroom semi-detached house for sale
1404,"Ringway Road, Park Street, St. Albans, Hertfordshire, AL2",21202000,4,2 bedroom apartment for sale
1405,"Roseacre Gardens, Welwyn Garden City",65726200,3,4 bedroom semi-detached house for sale
1406,"St. Annes Road, London Colney, St. Albans",180217000,3,5 bedroom detached house for sale
1407,"Bentley Place, Bentley Heath, Barnet",92758750,4,4 bedroom detached house for sale
1408,"Chedburgh, Welwyn Garden City, Hertfordshire",159015000,3,6 bedroom detached house for sale
1409,"Ragged Hall Lane, St. Albans",91168600,4,4 bedroom detached house for sale
1410,"Bell Mews, Codicote, Hitchin, Hertfordshire",43464100,3,2 bedroom apartment for sale
1411,"Queens Court, Codicote, Hitchin, Hertfordshire",90108500,3,4 bedroom detached bungalow for sale
1412,"Park Street Lane, Park Street, St Albans, Hertfordshire. AL2",79507500,4,3 bedroom detached house for sale
1413,"Park Street Lane, Park Street, St. Albans, Hertfordshire",82157750,3,3 bedroom end of terrace house for sale
1414,"Little Ley, Welwyn Garden City, Hertfordshire",132512500,2,4 bedroom detached house for sale
1415,"High Firs Crescent, Harpenden, Hertfordshire, AL5",79502199,3,3 bedroom detached bungalow for sale
1416,"The Meadway, Cuffley, EN6 4ET",291527500,2,4 bedroom detached house for sale
1417,"Old Parkbury Lane, Colney Street, St. Albans, Hertfordshire",47704500,2,3 bedroom terraced house for sale
1418,"Flexley Wood, Welwyn Garden City",57775450,2,3 bedroom terraced house for sale
1419,"Meadowcroft, St. Albans, Hertfordshire, AL1",84808000,3,4 bedroom semi-detached house for sale
1420,"Ayot Path, Borehamwood, WD6",51414850,4,3 bedroom end of terrace house for sale
1421,"Heronswood Road, Welwyn Garden City, Hertfordshire",38163600,2,2 bedroom flat for sale
1422,"Lime Tree Place, St Albans, AL1",76857250,3,3 bedroom semi-detached bungalow for sale
1423,"Dell Rise, Park Street, St. Albans",34453250,2,2 bedroom apartment for sale
1424,"Watling Street, Radlett",36573450,4,2 bedroom flat for sale
1425,"Beaumont Court, Milton Road, Harpenden",67316350,2,2 bedroom townhouse for sale
1426,"Hatfield Road, St. Albans",82157750,,3 bedroom terraced house for sale
1427,"Fishpool Street, St. Albans AL3",87458250,2,4 bedroom semi-detached house for sale
1428,"Windmore Avenue, Potters Bar, EN6",23322200,2,2 bedroom flat for sale
1429,"Parkhouse Court, Hatfield, Herts, AL10",48764600,3,3 bedroom end of terrace house for sale
1430,"Gorseway, Hatfield, AL10",45584300,4,2 bedroom terraced house for sale
1431,"SHENLEY LANE, ST ALBANS, AL2",132512500,3,4 bedroom property with land for sale
1432,"New Road, Welwyn Garden City, AL8",42404000,4,2 bedroom apartment for sale
1433,"Milliners Court, Lattimore Road, St. Albans",22792150,4,Studio for sale
1434,"Cravells Road, Harpenden",45054250,2,2 bedroom flat for sale
1435,Historic City Centre,53005000,4,2 bedroom end of terrace house for sale
1436,"Burydell Lane, Park Street, St. Albans, Hertfordshire, AL2",90108500,2,3 bedroom semi-detached house for sale
1437,"The Ridgeway, St. Albans, Hertfordshire, AL4",92758750,2,4 bedroom link detached house for sale
1438,"Penshurst Road, Potters Bar, Hertfordshire, EN6",159015000,5,3 bedroom apartment for sale
1439,"Mulberry Manor, New Road, Welwyn, Hertfordshire",95409000,3,4 bedroom detached house for sale
1440,"North Cottages, St. Albans, AL2",55655250,4,4 bedroom detached house for sale
1441,"Lords Wood, Welwyn Garden City, Hertfordshire",10203462,4,2 bedroom ground floor flat for sale
1442,"Charrington Place, St. Albans, Hertfordshire",84808000,6,4 bedroom semi-detached house for sale
1443,"Bridge Cottages, Sandridgebury Lane, St. Albans, Hertfordshire",65196150,3,2 bedroom flat for sale
1444,"Leyton Road, Harpenden, Hertfordshire",47704500,3,2 bedroom end of terrace house for sale
1445,"Wickets End, Shenley, WD7",206719500,5,5 bedroom detached house for sale
1446,"Georges Wood Road, Brookmans Park, AL9",84802699,4,3 bedroom detached house for sale
1447,"Penn Road, Park Street, St. Albans",174916500,2,4 bedroom detached house for sale
1448,"Northaw House, Coopers Lane, Northaw",148414000,1,4 bedroom detached house for sale
1449,"The Deerings, Harpenden",185517500,1,6 bedroom detached house for sale
1450,"Firs Walk, Tewin, Welwyn, Hertfordshire",76857250,3,3 bedroom terraced house for sale
1451,"Attimore Road, Welwyn Garden City, Hertfordshire",63606000,6,3 bedroom link detached house for sale
1452,"The Shaws, Welwyn Garden City, AL7",143113500,3,5 bedroom detached house for sale
1453,"Orchard Close, Cuffley, Hertfordshire, EN6",86663175,2,4 bedroom detached house for sale
1454,"Bennett Close, Welwyn Garden City, Hertfordshire",29682800,2,2 bedroom apartment for sale
1455,"Broadwater Road, Welwyn Garden City, AL7",23321669,3,1 bedroom apartment for sale
1456,"at The Prestige, David Lewis Street SG4",21201469,2,1 bedroom flat for sale
1457,"Hedgebrooms, Welwyn Garden City, Herts, AL7",71026700,5,3 bedroom semi-detached house for sale
1458,"London Road, Welwyn Village, AL6, Herts",133572600,3,6 bedroom detached house for sale
1459,"Alma Road, St. Albans, Herts, AL1",58305500,4,3 bedroom detached house for sale
1460,"Roe Green Lane, Hatfield, Herts, AL10",26502500,3,2 bedroom flat for sale
1461,"Node Way Gardens, Welwyn, Herts, AL6",24381769,4,2 bedroom flat for sale
1462,"Parkhouse Court, Hatfield, Herts, AL10",45054250,4,3 bedroom terraced house for sale
1463,"Twin Foxes, Woolmer Green, Knebworth, Herts, SG3",30742900,4,2 bedroom cluster house for sale
1464,"Old School Close, Codicote, Herts, SG4",262374750,3,5 bedroom detached house for sale
1465,"St. Bernards Road, St Albans, AL3",68906500,3,3 bedroom detached house for sale
1466,"Sycamore Avenue, Hatfield, Herts, AL10",71556750,4,4 bedroom semi-detached house for sale
1467,"Cambridge Drive, Potters Bar, EN6",53005000,4,3 bedroom semi-detached house for sale
1468,"Boundary Lane, Welwyn Garden City, Hertfordshire",84808000,4,4 bedroom detached house for sale
1469,"Minster Close, Hatfield, AL10",132512500,4,4 bedroom detached house for sale
1470,"The Valley Green, Welwyn Garden City, Hertfordshire",76857250,2,4 bedroom detached house for sale
1471,"The Green, Welwyn, Hertfordshire",60420399,2,3 bedroom semi-detached house for sale
1472,"Parsonage Lane, North Mymms, Hatfield, AL9",74201699,1,3 bedroom semi-detached house for sale
1473,"Tempest Avenue, Potters Bar, EN6",74207000,2,4 bedroom semi-detached house for sale
1474,"Park Avenue, Potters Bar, EN6",95403699,4,4 bedroom detached house for sale
1475,"Wentworth Close, Potters Bar",90108500,2,4 bedroom detached house for sale
1476,"Potters Field, St Albans, Hertfordshire, AL3",254423469,2,4 bedroom detached house for sale
1477,"The Grove, Brookmans Park, Hertfordshire, AL9",31802893,2,2 bedroom apartment for sale
1478,"Great North Road, Old Hatfield, Hatfield, AL9",24382300,3,2 bedroom flat for sale
1479,"Mosquito Way, Hatfield, AL10",23322200,2,1 bedroom flat for sale
1480,"Ely Close, Hatfield, AL10",47704500,3,2 bedroom terraced bungalow for sale
1481,"Church Place, Welwyn, AL6",55655250,3,4 bedroom townhouse for sale
1482,"Batterdale, Hatfield, AL9",48764600,2,2 bedroom retirement property for sale
1483,"College Way, Welwyn Garden City, AL8",31802893,2,2 bedroom apartment for sale
1484,"Great North Road, Old Hatfield, Hatfield, AL9",48764600,3,2 bedroom retirement property for sale
1485,"College Way, Welwyn Garden City, AL8",53005000,5,3 bedroom semi-detached house for sale
1486,"Great North Road, Welwyn Garden City, AL8",42404000,6,2 bedroom end of terrace house for sale
1487,"The Vineyard, Welwyn Garden City, Hertfordshire, AL8",68906500,2,3 bedroom cottage for sale
1488,"Fore Street, Hatfield, AL9",91163299,3,3 bedroom semi-detached house for sale
1489,"Byng Drive, Potters Bar, EN6",56185300,2,2 bedroom terraced house for sale
1490,"Sandridge Road, St. Albans, Hertfordshire, AL1",41873950,3,2 bedroom apartment for sale
1491,"Asquith House, Guessens Road, Welwyn Garden City, Hertfordshire, AL8",48759299,3,3 bedroom end of terrace house for sale
1492,"Redwood Rise, Borehamwood",148414000,1,5 bedroom semi-detached house for sale
1493,"Cross Way, Harpenden",424040000,3,6 bedroom detached house for sale
1494,"Redbourn Lane, Harpenden",37103500,2,2 bedroom apartment for sale
1495,"Mandeville Court, 261 Darkes Lane, Potters Bar",45054250,3,3 bedroom end of terrace house for sale
1496,"Aldykes, Hatfield",27562600,3,2 bedroom apartment for sale
1497,"St Lukes Court, Hatfield, AL10",72081499,4,3 bedroom semi-detached house for sale
1498,"Aberdale Gardens, Potters Bar, EN6",82157750,4,3 bedroom terraced house for sale
1499,"Church Street, St. Albans AL3",31803000,3,1 bedroom flat for sale
1500,"Newsom Place, Hatfield Road, St. Albans, Hertfordshire",58305500,4,3 bedroom end of terrace house for sale
1501,"Puttocks Drive, Welham Green, AL9",33393150,2,2 bedroom flat for sale
1502,"Welwyn Garden City, Hertfordshire",38163600,2,3 bedroom terraced house for sale
1503,"Four Acres, Welwyn Garden City, Hertfordshire",74207000,3,3 bedroom semi-detached house for sale
1504,"Baker Street, Potters Bar, EN6",84802699,2,4 bedroom semi-detached house for sale
1505,"Bulls Lane, Welham Green, AL9",212020000,5,4 bedroom detached house for sale
1506,"Beaumont Avenue, St. Albans, AL1",74207000,2,3 bedroom semi-detached bungalow for sale
1507,"Churchfield, Harpenden",25230380,3,4 bedroom end of terrace house for sale
1508,"Plot 8, Coronation Avenue, Cuffley EN6 4RD",41873950,3,2 bedroom flat for sale
1509,"Copper Beeches, Milton Road, Harpenden",28622700,3,2 bedroom ground floor flat for sale
1510,"Berwick Place, Welwyn Garden City AL7",74207000,2,3 bedroom detached house for sale
1511,"Tennyson Road, St. Albans, AL2 3HX",45054250,3,2 bedroom flat for sale
1512,"Scholars Court, Hatfield Road, St Albans, AL1",140463250,4,5 bedroom semi-detached house for sale
1513,"Beaumont Avenue, St. Albans, Hertfordshire, AL1",53005000,1,2 bedroom apartment for sale
1514,"Lichfield Place, Lemsford Road, St. Albans",68906500,3,3 bedroom detached house for sale
1515,"Park Street, St. Albans, Hertfordshire",55119899,2,3 bedroom terraced house for sale
1516,"Powis Court, Potters Bar, EN6",43464100,2,3 bedroom maisonette for sale
1517,"The Ridgeway, St. Albans, Hertfordshire, AL4",45054250,2,2 bedroom maisonette for sale
1518,"Hatfield Road, St. Albans, AL1 4HY",84808000,5,3 bedroom end of terrace house for sale
1519,"Sopwell Lane, St. Albans",100709500,6,4 bedroom detached house for sale
1520,"Lyndon Mead, Sandridge, St. Albans, AL4 9EX",15901500,4,1 bedroom apartment for sale
1521,"at The Prestige, David Lewis Street SG4",82157750,3,3 bedroom semi-detached house for sale
1522,"Watling Knoll, Radlett, Hertfordshire, WD7",24382300,4,2 bedroom maisonette for sale
1523,"Tudor Close, Hatfield",29682800,3,2 bedroom apartment for sale
1524,"Astwick Manor, Coopers Green Lane",38693650,5,2 bedroom maisonette for sale
1525,"Hughenden Road, St. Albans, Hertfordshire, AL4",179686950,5,5 bedroom detached house for sale
1526,"Orchard Road, Tewin, Welwyn, Hertfordshire",132512500,1,6 bedroom detached house for sale
1527,"Codicote Road, Welwyn, Hertfordshire, AL6",84808000,1,4 bedroom house for sale
1528,"Ayot Path, Borehamwood, Hertsmere, WD6",40813850,1,3 bedroom end of terrace house for sale
1529,"Linnet Walk, Hatfield",125091800,1,4 bedroom detached house for sale
1530,"Alzey Gardens, Harpenden",22558928,1,3 bedroom semi-detached house for sale
1531,"Plot 12, Coronation Avenue, Cuffley, EN6 4RD",238522500,2,5 bedroom detached house for sale
1532,"Hertingfordbury, Hertford SG14",95403699,2,5 bedroom detached house for sale
1533,"Foxglove Way, Welwyn, AL6",30742900,1,1 bedroom flat for sale
1534,"Camp Road, St. Albans, Hertfordshire",34453250,2,1 bedroom flat for sale
1535,"Station Approach, Harpenden",28622700,2,1 bedroom flat for sale
1536,"Milton Road, Harpenden",31272950,4,1 bedroom flat for sale
1537,"Station Approach, Harpenden",34983300,2,1 bedroom flat for sale
1538,"Station Approach, Harpenden",58252495,3,2 bedroom semi-detached bungalow for sale
1539,"Theobalds Close, Cuffley",26502500,4,2 bedroom flat for sale
1540,"Ribbledale, London Colney, St. Albans",22262100,5,1 bedroom flat for sale
1541,"Beaumonds, Upper Marlborough Road, St. Albans, Hertfordshire",17491650,4,2 bedroom detached house for sale
1542,"Marshmoor Crescent, Welham Green",66256250,5,2 bedroom apartment for sale
1543,"Mulberry Manor, New Road, Welwyn, Hertfordshire",119261250,1,4 bedroom detached house for sale
1544,"Danesbury Park Road, Welwyn, Hertfordshire",45054250,1,2 bedroom apartment for sale
1545,"London Road, St. Albans, Hertfordshire",74207000,4,3 bedroom semi-detached house for sale
1546,"Old London Road, St. Albans, Hertfordshire",60425700,4,4 bedroom terraced house for sale
1547,"Ravenfield Road, Welwyn Garden City, Hertfordshire, AL7",164315500,3,5 bedroom detached house for sale
1548,"Rabley Heath, Welwyn, Hertfordshire",93288800,2,4 bedroom detached house for sale
1549,"Handside Lane, Welwyn Garden City, Hertfordshire",179686950,4,5 bedroom detached house for sale
1550,"The Chowns, Harpenden, Hertfordshire",21202000,5,1 bedroom retirement property for sale
1551,"Marlborough Road, St. Albans",10601000,2,1 bedroom retirement property for sale
1552,"Beaconsfield Road, St. Albans",94878950,3,4 bedroom semi-detached house for sale
1553,"Dugdale Hill Lane, Potters Bar, EN6",76857250,3,4 bedroom detached house for sale
1554,"Lavender Close, Hatfield, Hertfordshire",74207000,4,3 bedroom bungalow for sale
1555,"Glebe Road, Welwyn",46644400,4,2 bedroom house for sale
1556,"Elizabeth Court, St. Albans, Hertfordshire, AL4",72086800,2,4 bedroom semi-detached house for sale
1557,"Park Avenue, Potters Bar",116611000,5,5 bedroom semi-detached house for sale
1558,"Sandpit Lane, St. Albans, AL4 0BX",29152750,2,2 bedroom retirement property for sale
1559,"Cotsmoor Granville Road, St. Albans, AL1 5BW",53005000,2,3 bedroom detached house for sale
1560,"Plot 30, The Edgar, Havilland Park, Hatfield",63606000,2,3 bedroom house for sale
1561,"Wynches Farm Drive, St Albans, AL4",71556750,6,4 bedroom semi-detached house for sale
1562,"East View, Essendon, AL9 6HJ",88518350,4,4 bedroom mews for sale
1563,"The Walled Garden, Tewin Water, Tewin, Welwyn, AL6",24912350,4,2 bedroom flat for sale
1564,"Cunningham Avenue, Hatfield",318030000,3,5 bedroom detached house for sale
1565,"Blackmore Way, Wheathampstead",34453250,6,2 bedroom apartment for sale
1566,"Darkes Lane, Potters Bar",46114350,2,2 bedroom terraced house for sale
1567,"Oakfield Close, Potters Bar",52474950,3,2 bedroom ground floor flat for sale
1568,"London Road, St. Albans, Hertfordshire",265025000,4,6 bedroom detached house for sale
1569,"Pine Grove, Brookmans Park, Hertfordshire, AL9",66786300,2,4 bedroom semi-detached house for sale
